x,y,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-176.875,-43.875,97.97026131,34.23848575,10.23843254,24.41979577,15.57227506,71.13237968,62.87065689,55.35884088,145.6341272,16.92532178,64.71371351,35.43078235,24.04653259,25.02765992,239.5509174,93.50271181,65.78177552,35.96847422,230.1204033,67.79881277,99.74434576,20.69121164,100.6750042,122.4096524,211.6702506,229.6451137,75.97045968,143.1297479,145.0775736,244.709353,145.6131876,234.1573189,194.4205755,183.261463,140.0979704,253.2880164,349.9513402,379.4717229,291.8988893,241.4918657,318.4233113,325.2524818,245.8098721,164.6235785,447.2108286,521.1666359,549.6224669,286.0560562,318.9031859,376.3804771,519.7122893,573.4853188,493.1864594,374.7541037,484.9281227,438.3027914,478.3438357,454.191111,499.450426,596.9749033,394.9204199,292.1734537,436.0103351,462.4284644,313.6931456,520.1860149,468.9717681,474.9327568,481.4888947,567.8491621,523.1982385,453.1667641,540.5195854,451.6088328,404.072379,626.1652652,464.2734387,476.3689818,490.238501,554.3539068,675.8334395,630.1205064,577.3604766,608.6290637,594.3347194,545.3486264,485.190662,385.3792078,649.7212806,506.46119,597.1081697,647.9479052,574.7920379,633.4664414,492.4033876,550.1180969,606.6039441,517.1932175,582.2880978,505.5033278,725.1094167,631.5741372,484.7824078,527.4372751,468.256618,611.941328,643.5419698,626.6800849,708.3780763,564.3240058,590.9172523,623.4269101,658.3605944,590.2450182,637.0356691,561.5602216,655.960192,575.1436911,543.7834602
-176.875,-43.625,83.86279162,31.69993778,8.095737528,31.06565459,19.34111432,69.60380353,76.21710988,50.69433213,144.4541162,16.15267914,66.22076532,34.69197706,26.67942262,26.74714807,235.4962928,87.25237561,61.98334061,35.17845282,228.0909756,73.98735518,102.6777245,26.58463169,106.8464323,120.2342149,205.0663363,238.3421956,62.95697472,134.5329813,144.9842652,224.1645732,159.4320563,230.2457874,193.8913309,175.7718656,133.5776273,252.0764161,347.2924491,383.0669499,289.8489419,247.2496397,297.364916,327.7870269,248.5068156,179.9591265,432.0395339,515.1432478,535.9753088,278.0442945,333.354458,372.9668444,509.8903882,574.7962047,494.2145431,348.3177433,484.6810414,449.0455217,484.1725258,449.9795996,484.5829373,575.3252831,396.3408118,282.6842477,429.4358903,438.6113244,340.789214,534.2990204,457.0220016,462.9667722,485.1220115,554.7927435,499.1002892,463.3884008,529.9571338,441.3399327,407.3861616,626.050717,479.800885,471.4116847,487.7125659,549.9728682,678.3945519,629.2432679,581.9052486,609.2346567,583.9070349,533.9913575,481.6234829,363.6734911,641.3048411,487.8448867,583.6596875,642.0611191,614.4621393,665.7519127,507.265703,548.6676808,602.2533206,533.7577874,593.8395385,506.9756261,718.1725253,616.2865522,529.8535274,522.1592717,449.1324237,611.3188903,642.0946486,619.052909,708.0929274,585.3857122,577.0871013,622.0844093,641.4717601,598.006524,623.6660341,547.8173773,660.5711773,585.034701,540.7330638
-176.625,-44.125,114.6857009,39.09711389,9.86165173,16.15695864,7.491759366,66.56221557,71.77776671,57.32846224,142.3074005,16.48593753,55.25114058,35.62249614,14.86504212,21.58225517,242.6348793,101.0548934,57.07532742,40.01812564,225.8152736,68.23014376,95.30457435,21.21138188,92.87763316,84.14501855,214.2962264,223.2713565,75.37291864,143.3500633,144.4361928,241.6722114,125.9717464,229.3673013,196.7121347,191.1564486,154.6345603,250.7811023,364.7521744,373.8657713,285.0452373,236.7876919,354.6158764,327.1497383,234.1986906,155.1051455,440.7482291,528.6415538,555.1446411,302.6189813,324.9523704,383.2981593,533.3785783,570.9976989,457.9990042,390.7520055,505.6139097,428.5714023,470.916771,463.1325092,508.5626014,599.5847041,359.0139795,288.2939437,424.1278981,476.1016004,281.6475636,473.1242574,475.112835,458.1959937,485.3271193,585.4241361,544.8980616,432.712936,537.0456533,460.0570839,428.7982754,635.0643652,455.5964816,499.5614265,489.5876652,550.0364027,673.3745554,634.7715076,568.3795208,613.3156744,592.6178089,554.6441731,486.5403826,408.2162619,655.2083045,518.2939151,593.5485786,645.2551335,554.2631079,627.2948477,493.4960967,540.0287851,601.393344,511.4695206,571.6662447,498.7009409,729.503736,641.5558725,509.7477706,533.2413324,471.2807437,604.9564645,643.0712125,640.4338626,700.5530032,556.9227008,586.4465391,631.8590581,668.3608053,585.3642488,648.7734939,568.1438834,642.0688971,576.6743278,548.8917021
-176.625,-43.875,104.7953218,33.84624533,10.39147666,17.02591739,7.694079386,69.26322475,81.58571049,55.84657727,150.931093,25.89491225,60.79359564,34.92637669,19.750802,20.58479369,237.7227883,95.8423875,63.9960646,35.71536712,224.5402532,69.09063899,99.92174921,29.30221576,99.58572547,98.40368552,211.079265,225.9127059,68.66197729,153.7027137,149.0398445,226.1488554,140.0809212,235.4078598,196.7303944,186.9151398,152.1356879,248.477695,343.6955445,373.1329901,290.9362215,232.5200452,336.2006777,325.7203879,217.7958682,159.6385984,425.9697502,523.4995791,545.3204535,280.5439586,312.3458114,377.4923941,539.4987449,572.2275589,456.4651769,378.1278224,498.3877613,433.9192229,479.1307763,457.6742002,508.289667,589.7815034,388.1573236,278.3422368,419.2406869,458.5603549,293.0683071,483.1909643,467.4165247,462.0639118,481.9875566,569.0397932,524.2121732,442.2247421,528.9140162,438.4766053,411.5676055,622.3925924,469.067882,495.7780364,489.5698315,546.5225975,671.1514933,630.15006,571.3493015,599.8282771,602.1757331,541.9641297,486.165222,398.2795324,647.9325918,487.4637153,590.4372409,639.427267,561.7338499,640.7225539,491.8775882,546.8562753,598.7044998,513.0880686,566.5548705,501.3390999,721.9003216,628.3391245,510.6899998,527.8966123,466.2651683,606.7256763,640.0901955,632.8745781,703.077602,546.9098769,572.5793518,626.5639256,657.3828296,584.3692869,640.7845394,561.595322,646.9030404,578.6109942,541.8985673
-176.625,-43.625,87.73775903,33.66115382,8.095992686,26.00531193,13.43345581,68.86693947,88.15719689,51.38088902,148.7819807,25.73089617,61.18522583,33.0508123,24.59845633,21.714481,236.8825928,89.93244903,59.77598654,35.6534538,225.2120456,79.2894122,99.39680324,26.69155628,106.3882928,102.4501819,196.8058749,237.2168168,65.29996755,141.9981336,146.5025953,222.200003,148.1526821,240.6468083,194.6008892,179.4610853,144.1817426,247.3374846,337.6936183,372.090258,289.8022318,229.5740912,303.9236996,323.2350282,209.1886033,178.574643,422.3220026,524.6788273,529.6356899,275.9773893,323.1870773,368.2722094,524.7734783,573.9121308,458.7632318,354.1579874,492.0856365,446.8101355,481.5648676,444.4681363,499.949317,568.7572841,384.8111673,275.5608738,409.6466987,430.0274613,321.4058957,509.3090348,449.5512381,459.432996,480.1364821,550.5999948,504.7685484,452.2684923,519.515348,427.7253802,405.6939715,624.3307014,480.2760565,475.4550289,482.2888398,541.0326222,665.2034207,628.323527,567.0282545,600.1658696,595.5771469,528.9972972,481.3984789,377.3008607,638.5551431,467.9595333,578.7018153,634.8624351,606.2264094,670.3299775,512.9818919,547.8727933,597.2684198,524.5546788,582.5869562,507.1162032,714.3584526,614.8290399,536.6242428,524.3135788,457.5678926,608.1722235,639.3501662,619.2911527,706.2325746,572.9055879,573.7268277,624.6716859,646.5182991,588.1200692,627.1399812,547.7578132,651.7943641,585.3324465,540.4840474
-176.375,-44.375,126.1704376,47.57536432,8.803778068,18.22300741,6.772422166,70.56128886,66.82215272,57.55817567,144.0613196,17.6487339,49.11486044,34.54711108,14.61284888,18.89988433,228.7591237,105.1167584,55.01517515,37.92901227,225.9026478,68.22188345,93.55454962,29.56155185,72.21452872,89.40807481,209.4198364,215.9618822,71.82537215,140.7833795,140.2624229,250.7778367,116.827274,208.9899822,197.0407892,207.2238508,156.660602,239.7645404,372.502824,359.0222752,292.2888763,241.4586076,363.4670476,323.3113417,237.2232891,152.3773044,416.6037137,539.4351936,568.6371845,319.9633317,340.3960635,396.3514189,542.9346086,564.1681288,454.6690187,385.5374558,488.4324576,421.1540722,482.6329629,454.764616,538.3857146,590.2821221,397.3466964,314.0829397,445.1289631,492.1977607,281.4887638,444.1557063,456.2566608,445.4837604,476.510218,589.9925918,562.7195928,424.3317753,540.9271817,462.1573822,481.5200653,660.054595,444.8507775,498.5504722,490.1386066,550.6530755,673.4744168,632.3842507,586.3740553,643.3329721,596.7477646,565.5239826,474.3995475,420.533107,658.0052717,532.3585543,587.5643443,642.9714794,572.8255423,656.1510978,514.3838302,528.4288768,593.5287652,530.6292564,583.8963087,508.1340735,730.6097718,646.629875,548.7478667,538.6142837,477.0508615,581.8234002,647.6416338,650.1210158,702.2486991,556.2846739,575.3418127,641.4533886,657.6611744,597.203992,675.1668144,587.5291952,630.9626384,591.8711014,559.5512424
-176.375,-44.125,117.8922259,42.68347819,9.523628068,15.97417213,6.347313217,64.57938084,77.59708296,56.71618567,150.0487694,26.57342415,52.88070387,34.9673275,14.22966473,20.44018371,241.0520168,101.4727006,54.99742592,39.86538393,218.6055267,68.01738575,97.3011233,37.43507718,84.09641194,86.74769948,207.0158589,222.0621679,67.23003362,143.0381235,142.5296049,230.0424159,131.8909875,230.3122671,196.1905744,195.1805233,155.2291044,247.3092238,361.3967505,362.3388477,294.446332,235.9869047,352.2780718,329.3543136,208.32634,155.2002936,428.9067246,534.0103708,544.8394728,294.9074997,327.0572712,387.0471877,549.2250646,570.467904,439.4303639,378.4803273,505.3628133,428.4503982,471.7340019,454.8821926,542.9891397,585.550207,361.357323,294.3749423,421.1141993,473.2709817,288.8859039,454.6644076,463.3644045,449.6393457,481.7127338,580.2050093,550.234437,421.6030348,524.3107211,448.6415288,456.9256686,644.5019913,460.2196615,494.4758209,484.6842139,551.7515245,664.5770434,631.007886,569.8330175,627.3695681,597.0532345,551.6058137,484.4262306,414.9390274,648.7936845,504.2048116,583.2778184,633.5504102,575.7184827,655.2423895,513.9276165,536.2305927,594.8804954,523.509809,579.1609391,509.9648697,722.8664371,634.5418641,542.6986667,535.6674908,472.3872525,596.7528909,641.644562,640.4114637,703.2772222,533.7012908,566.8511271,636.4227056,668.776913,587.7933233,665.6471815,579.3289101,636.0479468,594.9278065,549.5054857
-176.375,-43.875,111.900294,38.92240222,10.0452206,19.09714929,6.88293752,66.51425146,93.87200897,50.38037236,152.8860481,37.61716966,52.60030571,32.92707004,19.1726498,20.27226765,234.4732667,96.79358178,56.6464902,37.19683748,220.7559561,76.17909112,99.44757576,44.36000446,93.92578849,98.31311324,202.5174639,225.1565138,58.65648777,160.2926994,141.8656344,222.1618421,139.7823608,242.5868659,194.736116,191.9697788,152.0953205,247.2663634,334.2579678,360.1078825,293.638258,233.2540582,333.6753533,325.2912599,199.9966109,164.8978265,415.8418677,531.3595801,536.3734738,276.6950114,314.3880317,378.0118067,553.946861,571.9699844,440.1356336,367.9666492,496.3282411,433.4604371,476.5545763,450.1647792,535.6112899,572.7685493,383.6129347,278.0478369,415.6284431,460.0606864,301.8636831,467.3345496,455.9359035,452.9295267,477.4316001,564.2752919,527.4405026,430.1589182,514.744796,425.7256192,447.6014796,630.6308204,473.5651346,490.9722064,485.7779279,538.4148403,656.926145,627.0648022,563.3187669,613.8530096,607.3537537,538.2178782,482.8706732,404.4680709,642.2480104,474.3767121,581.2244938,629.5261495,584.8501631,659.8411674,524.771954,545.8201182,592.5229943,521.004697,578.3048477,509.450542,715.6768524,623.2336775,541.2378905,527.7240603,461.7868365,598.5774738,639.6714508,632.5411069,704.9085811,540.5389567,558.5665404,632.1022392,655.4545283,586.7900028,650.360725,568.4826939,640.6025607,596.1366652,541.0147878
-176.375,-43.625,89.9428054,33.2707854,7.90254001,25.68755534,10.7041992,67.10927088,93.68148259,51.0801661,150.8574793,38.60113093,50.95319018,32.27727449,24.06645702,21.48907978,236.1366738,89.68797766,56.16689399,36.64363728,223.8128688,81.0566319,99.4092239,27.08470208,101.5561112,98.60082318,186.1215147,230.7254824,57.21318796,157.5544571,142.1222358,220.2111674,146.4426143,241.1312649,192.1727668,187.1406085,143.0529639,244.659368,330.5966782,349.3541699,289.228041,231.88636,303.802273,322.8733722,207.0988224,178.015981,414.7672718,526.0047416,522.3120895,272.2044614,313.3031846,371.1102973,532.0783325,572.07442,443.9222536,349.7630447,493.2656041,446.2609165,483.0565302,440.8377915,516.1388246,560.2583743,381.952606,276.9553905,406.8690207,438.3093403,335.8744317,495.266765,439.7951746,451.0136048,476.609375,545.1823009,504.3207239,439.4204444,506.0519231,414.3198838,424.9545164,627.4654879,475.3697165,486.3156322,479.6571112,533.6184447,653.6698617,625.9505471,559.8191806,594.9880592,603.6593262,526.3332644,480.038782,379.6944529,633.8772135,454.7448683,565.8866434,626.0882437,611.3224271,685.0908658,529.5448236,550.8318888,590.3462973,528.9461825,588.1828239,512.6979345,709.0347006,610.0745331,551.8371934,525.0524943,460.5118242,601.6944015,637.0393952,619.9614291,703.8249856,567.8768442,561.0223841,629.8726338,643.6190397,583.8506149,634.3427583,555.5832476,645.6154347,598.4377199,538.3307351
-176.125,-44.375,127.8020383,63.00884081,8.033975872,20.97595716,5.469990838,70.92848877,79.84479001,55.36410425,154.2400138,19.6405538,50.19262891,33.68762516,14.10716923,16.60140107,229.1954534,99.96026095,52.24436744,34.61381103,221.7456992,73.55442639,92.43297715,40.09244875,66.34733029,86.95501188,200.5747234,220.4858678,65.76329077,139.1978157,152.3165507,240.037253,128.3360888,208.8401683,192.9240568,209.7746712,156.0650607,239.2937693,372.5067539,350.5617439,300.7245141,239.3239698,345.7395446,329.7181241,220.4866121,163.3073657,411.283695,541.132928,563.2819652,312.008842,348.7652572,398.0285703,565.6510139,560.1930922,445.4688278,368.8000544,488.5569457,421.688822,479.4870959,446.3275985,572.382321,578.2151216,405.9972403,323.0487802,449.5990683,496.4926359,298.5320833,454.5160237,455.1153249,438.1661272,475.9955086,577.5403602,560.5405114,437.169547,535.1180032,467.2059831,496.051694,676.3044208,460.5222638,501.1815287,492.4532054,540.3531551,663.1657729,630.3435144,587.0986588,668.5616957,609.0626614,562.8415801,484.151237,421.2853115,652.3679009,528.7694119,575.286563,632.9116055,608.0196932,697.9121683,558.8333107,524.0024632,585.8978036,553.8235199,610.0088101,532.8969463,723.8945506,638.9160235,580.4697028,542.1661294,489.6662587,578.0209459,652.3033097,656.9476307,709.8463723,535.7937256,585.6089845,647.1308097,651.9409333,622.8629554,685.7550447,609.9699431,631.276486,621.5289196,562.005625
