x,y,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-176.875,-43.875,27.09207885,0.862715358,0,0,0,8.748105493,0,17.22004036,75.26320326,0,12.89013376,0,8.627657605,0.754153842,15.38344544,21.4733662,0,17.99920345,43.10203195,13.56488813,7.944448965,9.522576169,6.68314792,37.80501949,34.17701938,26.93310138,24.24833521,30.53411078,47.4177168,27.07994352,11.46053452,39.75232191,32.86637717,72.78012693,46.63456663,23.00002574,25.58465692,35.08409204,203.7502506,31.29210772,114.5880808,177.0142212,122.7856768,117.3545284,172.4382758,127.4679017,145.4880014,202.3282949,106.6281336,84.93828159,141.8745253,117.8652136,122.1341762,252.3520268,202.9781979,180.9014584,258.222387,394.7061394,184.7096682,319.624666,412.8105637,358.9108991,478.3800084,419.9882412,461.4486646,478.4593923,552.6544561,480.5617615,391.8377771,562.5933143,536.223954,480.1974201,547.834602,600.7995473,476.9285903,657.9418381,726.1767764,640.7006296,754.029987,792.8134697,725.1973551,571.5314349,725.4519388,657.8338082,701.5276471,778.852523,551.0832539,832.1631935,834.5013922,727.054236,947.2778023,868.2815414,874.2648485,845.1621597,848.4298285,837.9777745,833.680888,927.6295699,897.8602375,915.5156916,975.1889694,1148.737793,962.1338099,1008.781465,1139.186711,1086.798403,1078.149349,1309.826472,1202.104335,1076.634485,1078.319383,1280.130565,1155.189723,1268.663683,1400.497475,1129.853176,1304.248443,1360.393941,1337.709642
-176.875,-43.625,23.40565724,0,0,0,0,9.229113135,0,18.88784257,80.05827493,0,12.48792355,0,8.679427744,0.785383035,14.49855648,34.31243006,0,11.11212288,37.55493893,14.06907927,6.419706702,9.00303317,11.19830319,26.14977125,33.59356978,23.63407431,25.6855275,31.40365718,34.3136888,34.5549038,12.51412122,41.62728745,31.97605291,77.24348391,54.32066642,24.45491072,19.72699948,31.53421652,195.2081089,31.14100201,110.3297663,166.8824376,112.0486757,96.73858904,164.2696618,122.4677237,146.8731302,199.3612787,100.4107864,62.19637754,140.3390625,115.0012418,134.4272897,247.4835977,182.5051939,203.0020283,259.5665469,379.7066196,153.5264965,314.2143884,398.5583333,362.0594101,488.4588174,419.2522846,473.1175196,467.3579045,532.4168447,496.5549984,415.8886789,552.3660677,519.34864,460.9664198,554.8700736,606.225086,473.4669623,642.1966375,711.030721,646.7893322,743.5394319,775.3538535,707.1367207,580.6282033,726.9951659,637.245286,690.2419264,768.8165314,541.7710613,808.6841281,828.4378606,730.5278686,941.3295957,880.6323035,883.5082338,846.9232871,840.4322577,806.0986484,828.4626815,947.8898439,912.2251868,868.4226096,973.3382899,1126.797065,921.7805532,977.3507369,1129.922347,1047.577264,1081.929921,1267.654024,1167.238581,1086.024645,1077.248419,1231.9419,1165.24818,1259.595681,1401.841195,1136.885599,1305.341242,1337.906809,1286.451104
-176.625,-44.125,22.56668481,4.154744394,0,0,0,7.495575642,1.162221866,16.97666341,74.86156016,0,11.64358877,0,8.342550142,0,17.22226907,21.10491972,0,10.69138018,54.70808927,12.66281396,9.572362531,11.13255755,5.312835176,50.0166339,34.32165837,26.36621646,22.16118221,37.77491089,39.91289075,34.79950151,11.08211957,36.825386,29.21132392,85.72957446,50.97488596,23.98068014,31.30337113,41.16028964,222.0678759,97.093165,146.7671849,170.6308545,115.0122542,134.0526534,158.4406197,165.55122,150.2618356,202.7631791,120.6198489,103.8700725,163.2939438,130.6025842,113.1471395,257.2772548,212.2894938,169.3763361,249.7426394,379.1703101,192.2229695,292.0968012,428.1160449,346.0905574,458.7714815,412.347539,451.4731687,482.7451207,541.0974199,475.2509068,366.8320688,571.1580839,553.0085526,499.518854,559.8512774,597.6599722,478.0083359,648.4098085,712.5075738,636.1515532,761.0114671,811.4761982,728.6784765,614.8114329,725.3119271,657.9051133,710.2376978,768.2744826,553.8748196,856.3185711,834.7280642,719.179928,938.7913638,851.4786254,879.8652506,846.8763167,833.9612877,824.0502613,840.9415427,920.2664258,870.3302823,960.8265524,985.9930149,1152.390431,969.704023,1037.681951,1135.905502,1082.057962,1065.316656,1333.380325,1201.409151,1056.439727,1080.184058,1285.345969,1140.573587,1265.533228,1390.285513,1116.945243,1320.551679,1343.815912,1389.09438
-176.625,-43.875,25.58870735,3.847023988,0,0,0,16.24291064,0,16.88678659,73.05844859,0,10.65732333,0,8.470479816,0,14.92011791,21.36278615,0,12.25480313,42.91160039,13.10581364,8.061133411,10.58735686,7.614001672,45.86270996,31.54369891,30.36488677,25.94624613,35.75649427,49.94359865,31.64079656,11.27681422,38.71976648,27.82457805,81.93088889,49.39565603,24.12732158,24.83340647,34.52827028,220.8316784,62.83958483,116.6738496,181.5722941,122.1080086,119.1763914,156.2634351,161.0494759,147.0636491,198.5833585,109.6572764,87.56023211,155.5075949,120.9114274,129.4857619,255.7457934,194.1438879,183.3258791,253.3867774,382.0876659,181.632454,300.1439926,418.0766771,353.1070157,477.8617785,397.7157701,457.6919826,466.3445739,532.9863146,461.6670285,383.0763567,561.9658436,545.5006071,483.8662683,545.2403331,598.5767452,474.5444206,654.6767746,708.8401972,649.4326011,756.6965259,807.8117367,731.1812172,594.2918097,722.9812121,646.5487282,695.2060662,759.2061474,550.5907215,839.3753096,831.4801032,721.6419824,942.9221495,863.1295417,878.8282763,841.2581073,831.9383257,831.0991934,850.7651468,942.3712823,886.9786191,949.9759985,975.892809,1140.819585,954.7448789,1029.484076,1139.783175,1083.553698,1071.478433,1320.989762,1191.157339,1070.835382,1073.235516,1289.309032,1150.429386,1255.017481,1390.486276,1119.288955,1314.869202,1346.574365,1364.025827
-176.625,-43.625,13.13270837,0.894599588,0,0,0,9.397494447,0,18.24539289,74.05548755,0,12.1447658,0,8.549861755,0,15.98744113,32.5641593,0,11.11327676,37.34734505,13.57332009,7.746644214,9.062576596,12.42390129,34.37865582,28.77678964,32.12126171,24.48370226,36.52860243,41.33420073,34.52869991,11.51380647,40.66245975,37.34095255,78.00434568,57.41580516,23.03590321,18.58329505,31.8399578,209.779487,34.51289387,111.9620491,172.5367909,121.7044441,101.7402556,155.9831701,125.2364664,153.5531185,195.2854299,100.5396179,70.67170951,151.9746425,117.9200045,142.1682416,249.5460898,176.5702434,203.6107413,254.4280146,385.0058325,169.9543151,318.1444264,404.5235527,359.5747649,481.2244598,393.6668206,466.3906257,457.6581435,519.9332392,482.0150485,403.966504,551.9889021,526.0092377,458.9491257,551.7058755,608.0935254,470.3847651,642.5562191,704.1061668,655.9185442,752.3033766,790.9442397,724.5843773,589.763458,728.5863831,639.9970099,685.0247498,751.4708673,542.1445124,817.709282,823.5603246,725.302236,938.7105722,875.5814146,885.8309358,841.8409561,829.9153452,832.4526253,824.8638624,960.3427729,905.5988418,899.3688288,971.6902622,1134.055307,944.7735428,995.7980385,1130.670756,1072.203338,1075.865938,1293.075229,1178.070605,1081.019885,1071.043259,1254.159794,1161.04355,1254.217437,1391.868281,1126.540842,1298.699858,1351.134293,1309.898005
-176.375,-44.375,22.78276271,7.589750745,0,0,0,9.175314107,0,15.23421676,70.96687764,0,11.67248858,0,5.267258725,0,23.37164016,20.85911318,0,9.710229141,65.7721015,11.01440735,10.09458498,10.40461213,4.190055063,43.08337497,27.4481846,31.44449132,17.07732499,38.05263199,38.13046043,40.99358814,11.25780458,29.54237271,27.73842044,76.54643111,51.49789849,24.24749626,30.50719814,57.8184908,220.2544166,115.9985842,172.4664704,170.5494257,111.7629517,162.732478,186.8809445,147.0736058,151.0072524,206.1131337,124.8569826,111.7426996,176.0000626,124.5243165,95.37437683,257.6956346,200.7693864,166.4608235,255.8170126,374.9368069,195.4785011,304.5519243,422.2935797,335.2990468,461.9023586,453.6306674,468.2525131,486.4178344,517.9124754,478.6505345,364.5616841,574.4161146,577.7116881,497.9507556,571.2340447,599.1961377,460.6403523,621.4990908,718.402409,632.6628608,762.8699896,791.9774853,735.1368998,621.0756957,716.6115842,647.481788,729.8746194,792.0470138,558.2512478,850.5190188,811.7915401,706.6102746,918.8047612,832.4928067,880.6957235,842.5992343,852.5319927,834.8766238,853.5748596,920.7711377,879.040303,948.3753592,1010.870855,1168.398127,976.7468007,1023.939531,1155.205642,1107.925204,1044.53872,1329.325979,1207.660331,1028.751258,1081.619424,1271.845398,1121.525552,1277.756872,1384.748615,1111.590614,1291.898945,1332.18416,1392.048427
-176.375,-44.125,20.97287205,4.04423629,0,0,0,5.32632921,0,16.59576766,67.5402114,0,9.5431286,0,7.391760091,0,15.97681608,20.83672933,0,9.690050751,54.50963962,12.25649391,9.672124173,10.95068938,5.971113187,59.7238718,31.67855587,27.31231953,22.39598466,35.90301401,39.96276466,36.68199623,9.773013348,31.06445408,28.69043174,90.1090342,51.54167207,26.4672117,31.21010941,46.93263336,228.323929,110.8620007,152.8729875,176.4606256,111.7127315,147.7025347,145.7881202,165.6709777,151.2248061,199.5736279,119.3230215,88.72115574,160.3566894,131.0821423,112.2212579,258.1292182,207.6568719,164.8791805,258.2500552,361.110448,181.8936337,304.1105936,415.3983572,340.9155847,462.3887364,413.9662503,463.603273,469.8090227,522.4993054,462.7054971,368.3604119,566.1344216,569.8603796,492.9982366,559.2708841,598.6268406,471.8551386,630.3727578,701.2878288,634.7101041,759.6241077,798.8785368,724.2413526,608.3683983,717.5982156,654.1084305,705.6380291,750.6671058,555.4227565,840.7282043,829.1049417,709.1986993,933.176143,844.0466474,878.8452214,845.1749009,821.6827839,834.0794557,838.8462247,941.6510803,867.5777129,953.5137687,990.207158,1147.371389,965.0117682,1028.70165,1157.709145,1104.241417,1052.508516,1319.538403,1189.700691,1042.183187,1074.032739,1277.860701,1132.224362,1251.340779,1381.427163,1107.19055,1301.982997,1330.868951,1379.733612
-176.375,-43.875,0,0.85054034,0,0,0,7.484986752,0,16.51628854,70.88400289,0,10.1415326,0,9.891940076,0,14.58892676,21.18086348,0,10.29377918,42.72167604,12.64654741,8.131126187,9.452054974,10.15365585,51.24244129,27.8867177,31.07655962,24.22304682,41.90656864,49.70933675,32.89692027,11.09307261,37.68687667,26.78051514,82.34956541,59.57309549,24.13033407,24.07879864,39.18740593,226.9527913,87.54473598,124.0589037,187.3411413,120.3536273,115.275146,149.178463,160.9032989,154.6105821,195.4553787,108.312403,79.86322945,145.4276776,124.9031612,112.5133667,256.4485684,188.9836332,182.9200473,249.6488487,364.0085652,183.3160766,307.0445845,409.323366,343.4634109,478.3085373,388.06427,464.1440093,455.0198677,515.0058808,450.8249405,383.308231,557.673436,560.6904111,478.668772,543.9910588,597.4371354,468.9923647,641.1544995,698.0389848,644.1125477,756.2829287,801.2678284,725.7345023,592.6576552,718.6258654,640.1395652,691.9744864,742.9623334,548.6430642,829.0425782,826.3611429,712.487777,938.7041854,856.1585581,881.3300299,837.3538737,819.8490399,837.9828081,843.7223563,974.4179849,884.9413485,946.9105896,976.5964884,1132.901178,947.3557715,1025.412443,1156.391962,1100.800232,1059.802758,1304.990776,1177.23399,1058.083493,1065.426112,1283.440291,1143.3197,1244.240599,1380.474922,1108.724539,1300.608376,1332.754567,1358.618802
-176.375,-43.625,0,0.847893251,0,0,0,14.32808516,0,17.24280081,73.01087655,0,11.70786104,0,8.420028888,0,18.76338337,24.36935791,0,12.15050477,37.13997333,13.07743,7.815395224,8.95548363,12.59061802,41.0874481,28.51455791,33.96373434,24.45783833,40.76041721,48.91925163,34.8184935,11.31238678,39.69715716,40.91677134,80.42954477,50.9886657,24.29975673,14.7132872,34.60690026,212.4027088,45.29517888,112.0376678,179.4410671,120.3715411,103.8867622,151.3513443,130.7568423,155.154754,192.776912,99.64415195,94.17813726,157.2968534,117.0394556,141.0889757,253.3988401,170.7180084,212.473161,251.7679801,372.2863777,172.2522258,329.1254706,400.4174512,350.5270737,472.3143072,397.7571599,461.7905771,449.0034153,497.6270488,463.1358438,400.542193,548.878995,553.6324129,455.3735022,542.319527,602.1206131,465.9131316,632.8145944,693.7397365,653.5139658,743.998151,787.7547809,728.1808045,593.2253234,722.1128363,634.7861803,679.8250946,736.580384,546.032804,810.6784631,823.6161771,717.1059961,936.053455,869.3303642,888.1536101,836.7586545,818.9081007,830.7537814,821.265047,980.4228454,903.3032041,898.9219915,970.0422324,1124.99095,935.995613,993.7449943,1141.613701,1070.367553,1065.827374,1290.695138,1170.263732,1070.547452,1054.862814,1247.546758,1155.169952,1245.161807,1381.895405,1116.196058,1288.970187,1337.844495,1306.487198
-176.125,-44.375,23.34411127,4.240279535,0,0,0,0,0,13.73170922,69.66445992,0,11.40250122,0,2.548875839,0,17.29155085,21.3739529,0,9.283825786,65.84344672,9.804344479,11.2411865,9.202211484,4.330982401,46.59059905,23.35421022,33.53341797,15.61542938,35.94027966,47.6172337,48.59164068,10.12808662,47.39276772,34.51779533,78.33741242,55.10668793,24.42435315,30.57742704,58.00198229,218.8810267,108.5044634,170.4254423,194.5885198,108.4232837,163.0738949,197.1999411,141.889726,152.5786257,204.2409679,114.8786823,93.25944891,170.1243791,121.4589428,82.49044276,257.7744705,195.1882037,161.3415237,260.701229,369.3739776,186.4123046,337.7106333,395.6941368,330.3926465,470.2721814,443.4113074,453.0891144,480.6972194,499.0355951,485.3560618,377.3280379,568.9006197,596.0823403,490.3725446,550.9472212,599.0981883,456.4436945,616.8564211,699.603288,629.1335348,760.4583219,764.1938347,732.4678494,593.145347,708.3542118,646.0402745,728.1908394,783.2446749,561.5401362,818.3714651,803.4998687,695.8715042,912.4756788,824.7370304,886.6948367,835.074319,849.5419121,842.4220985,855.6269884,948.8419899,883.7619462,914.1594509,1019.751723,1168.029302,966.3648485,1000.281808,1152.74567,1116.27071,1030.865467,1295.339708,1199.851629,1014.458881,1070.526187,1247.21708,1111.935055,1271.288539,1378.232191,1103.672338,1254.970908,1321.510231,1359.045935
