country,lfp_cat,kelp_area_km2,pct_area
ARG,None,130.82133641346184,0.7409593518450727
ARG,Least,0.5263453077365656,0.0029811687356149723
ARG,Moderately,45.20901614313372,0.25605947941931245
AUS,None,7.206638383805165,0.8582268942330361
AUS,Least,0.06546736527747637,0.0077964025088270985
AUS,Less,0.10773970419572376,0.01283054689205311
AUS,Heavily,0.12944376727829232,0.015415248615598658
AUS,Most,0.887835633291527,0.10573090775048498
CAN,None,19.056960275939,0.568499424497631
CAN,Least,6.381306472807381,0.1903645179926394
CAN,Less,0.9068561377530086,0.027052960438063725
CAN,Moderately,2.4903429156524113,0.07429088867533934
CAN,Heavily,1.6807498467288071,0.050139440223119607
CAN,Most,3.0052963434651483,0.08965276817320687
CHL,None,301.8622819398996,0.6714175977186472
CHL,Least,144.8867456427543,0.32226454420065304
CHL,Less,0.0033164014043822396,7.376510406306417e-6
CHL,Moderately,2.77095437030597,0.0061632990870626155
CHL,Most,0.06617169463624542,1.4718248323083145e-4
FRA,None,2.449976885927241,0.010539455632614205
FRA,Moderately,5.508758570370271e-4,2.369790379521359e-6
FRA,Most,230.00710300482,0.9894581745770062
GBR,None,527.4423433477995,0.9848349546467006
GBR,Most,8.12185536305357,0.01516504535329946
MEX,None,102.68474191749398,0.5624388974902778
MEX,Least,38.06127055728263,0.2084743911273362
MEX,Moderately,38.557277651670525,0.21119118895051264
MEX,Heavily,0.7676299956363006,0.004204567887730095
MEX,Most,2.4995642019830275,0.013690954544143336
NAM,None,0.016439867146780012,0.05797552195136127
NAM,Less,0.26712579286698035,0.9420244780486386
NZL,None,4.671432133638634,0.6509455531520096
NZL,Least,0.07626326251846549,0.010626983371498054
NZL,Moderately,0.8372720601760852,0.11667054315643521
NZL,Most,1.5914117523711648,0.2217569203200571
PER,None,7.428942359784508,0.6109636431564609
PER,Least,4.3433358565139075,0.35720028098653844
PER,Moderately,0.38710711374165585,0.03183607585700059
USA,None,346.617685563397,0.6498928149067363
USA,Least,78.1004522752495,0.1464348903378953
USA,Less,50.077322550458426,0.09389276274928417
USA,Moderately,9.428516774749061,0.017678051531552087
USA,Heavily,12.509454871088904,0.02345467406230718
USA,Most,36.61249457472236,0.06864680641222483
ZAF,None,33.057870009546065,0.7357231943804097
ZAF,Less,3.5910962113791833,0.07992205109404625
ZAF,Moderately,1.4463578473594283,0.03218958194732957
ZAF,Heavily,1.197012580300587,0.026640249932556908
ZAF,Most,5.640146467412995,0.12552492264565754
